entity1,relation1,entity2,relation2,entity3,2_hop_q,simple_constraint,2_hop_1_simple_constraint
person,lead_investor_of,funding_round,launched,org,[person] was the lead investor of funding round launched by which organizations,,
person,lead_investor_of,funding_round,type_of,investment_type,[person] was the lead investor of what types of funding rounds,,
person,lead_investor_of,funding_round,country_code,country_code,[person] was the lead investor of funding rounds in which countries,,
person,lead_investor_of,funding_round,raised_amount_usd,price,amounts raised in the funding rounds led by [person],,
person,lead_investor_of,funding_round,funding_round_investment_partner,person,list investment partners in the funding rounds lead by [person],person-gender-gender(c),list the (gender) investment partners in the funding rounds that [person] led
person,lead_investor_of,funding_round,funding_round_investment_partner,person,list investment partners in the funding rounds lead by [person],person-country_code-country_code(c),list investment partners from (country_code) in the funding rounds lead by [person]
person,funding_round_investor,funding_round,launched,org,[person] invested in which organizations,org-country_code-country_code,[person] invested in what companies based in (country_code)
person,funding_round_investor,funding_round,launched,org,[person] invested in which organizations,org-category-category,[person] invested in what (category) companies
person,funding_round_investor,funding_round,type_of,investment_type,[person] invested in what types of funding rounds,,
person,sponsor,event,country_code,country_code,[person] is the sponsor of events in which countries,,
person,sponsor,event,city,city,[person] is the sponsor of events in which cities,,
person,sponsor,event,type_of,event_role,[person] is the sponsor of what types of events,,
person,speaker,event,country_code,country_code,[person] is the sspeaker of events in which countries,,
person,speaker,event,city,city,[person] is the speaker of events in which cities,,
person,speaker,event,type_of,event_role,[person] is the speaker of what types of events,,
person,organizer,event,country_code,country_code,[person] is the organizer of events in which countries,,
person,organizer,event,city,city,[person] is the organizer of events in which cities,,
person,organizer,event,type_of,event_role,[person] is the organizer of what types of events,,
person,exhibitor,event,country_code,country_code,[person] is the exhibitor of events in which countries,,
person,exhibitor,event,city,city,[person] is the exhibitor of events in which cities,,
person,exhibitor,event,type_of,event_role,[person] is the exhibitor of what types of events,,
person,contestant,event,country_code,country_code,[person] is the contestant of events in which countries,,
person,contestant,event,city,city,[person] is the contestant of events in which cities,,
person,contestant,event,type_of,event_role,[person] is the contestant of what types of events,,
org,launched,funding_round,type_of,investment_type,[org] launched what types of funding rounds,,
org,launched,funding_round,country_code,country_code,[org] launched funding rounds in what countries,,
org,launched,funding_round,city,city,[org] launched funding rounds in what cities,,
org,launched,funding_round,lead_investor_of,person,list of people who were the lead investors of [org]'s funding rounds,,
org,launched,funding_round,lead_investor_of,org,list of companies that were lead investors of [org]'s funding rounds,,
org,launched,funding_round,announced_on,date,when did [org] announce its funding rounds,,
org,launched,funding_round,funding_round_investor,person,list of people who invested in [org],,
org,launched,funding_round,funding_round_investor,org,list companies that invested in [org],,
org,lead_investor_of,funding_round,launched,org,[org] was lead investor of funding orunds launched by which companies,,
org,lead_investor_of,funding_round,type_of,investment_type,[org] was the lead investor of what types of funding rounds,,
org,lead_investor_of,funding_round,country_code,country_code,[org] was the lead investor of funding rounds in which countries,,
org,lead_investor_of,funding_round,raised_amount_usd,price,amounts raised in the funding rounds led by [org],,
org,lead_investor_of,funding_round,funding_round_investment_partner,person,list investment partners in the funding rounds lead by [org],,
