BlackFin Tech invested in what type of funding rounds	series_c
Starboard Value invested in what type of funding rounds	post_ipo_equity
Igah Ventures. invested in what type of funding rounds	seed|series_a|series_b
Highline Beta invested in what type of funding rounds	pre_seed
ETFS Capital invested in what type of funding rounds	seed|series_a
Sallyport Investments invested in what type of funding rounds	series_a|series_b
Foundation for Food and Agriculture Research invested in what type of funding rounds	grant
Rockies Venture Club invested in what type of funding rounds	seed|angel|series_a
Base Capital Partners invested in what type of funding rounds	series_c|series_a
Inveready invested in what type of funding rounds	pre_seed|post_ipo_debt|undisclosed|seed|series_a|series_b|convertible_note
VinaCapital Investment Management invested in what type of funding rounds	post_ipo_equity
TCG Crossover invested in what type of funding rounds	series_c|series_b
Bowman Capital invested in what type of funding rounds	series_b
Enygma Ventures invested in what type of funding rounds	seed
Fall Line Capital invested in what type of funding rounds	seed|series_d|series_a
Aurinvest invested in what type of funding rounds	series_b
Accelerace invested in what type of funding rounds	seed|grant
Leadout Capital invested in what type of funding rounds	seed
SessionM invested in what type of funding rounds	series_a
National Development Fund of Taiwan Government invested in what type of funding rounds	seed
The E14 Fund invested in what type of funding rounds	pre_seed|seed
NB Ventures invested in what type of funding rounds	seed|series_a|convertible_note
HaxAsia invested in what type of funding rounds	seed
Alameda Research invested in what type of funding rounds	initial_coin_offering|seed|series_a|series_b
Centricap invested in what type of funding rounds	seed
Deep Fork Capital invested in what type of funding rounds	seed|series_a|series_b|series_c|convertible_note
NPIF – Mercia Equity Finance invested in what type of funding rounds	seed|series_a
CoinCircle invested in what type of funding rounds	initial_coin_offering
Anathem Ventures invested in what type of funding rounds	seed|series_b
Norgine Ventures invested in what type of funding rounds	series_a
Microsoft Climate Innovation Fund invested in what type of funding rounds	series_d|series_b
FoodLabs invested in what type of funding rounds	pre_seed|seed|series_a
Fusion Fund invested in what type of funding rounds	seed|series_a|series_c|series_b
CapHorn Invest invested in what type of funding rounds	seed|series_a|series_b
Bellco Capital invested in what type of funding rounds	series_a
M12 - Microsoft's Venture Fund invested in what type of funding rounds	series_d|seed|series_a|series_b|convertible_note|series_c|series_e
Moonrock Capital invested in what type of funding rounds	seed
One 9 Investments invested in what type of funding rounds	series_a
