main_chain,question,simple_constraint,temporal_constraint,aggregation_max_constraint,aggregation_sum_constraint,aggregation_count_entity_constraint,selection_constraint,type
person-lead_investor_of-funding_round-launched-org,[person] was the lead investor of funding round launched by which organizations,,,,,,,
person-lead_investor_of-funding_round-type_of-investment_type,[person] was the lead investor of what types of funding rounds,,,,,,,
person-lead_investor_of-funding_round-country_code-country_code,[person] was the lead investor of funding rounds in which countries,,,,,,,
person-lead_investor_of-funding_round-raised_amount_usd-funding_round_price,amounts raised in the funding rounds led by [person],,,,,,,numeric
person1-lead_investor_of-funding_round-funding_round_investment_partner-person2,list investment partners in the funding rounds lead by [person1],,,,,,,
person1-lead_investor_of-funding_round-funding_round_investment_partner-person2,list the (gender) investment partners in the funding rounds that [person1] led,person2-gender-gender,,,,,,
person1-lead_investor_of-funding_round-funding_round_investment_partner-person2,list investment partners in the funding rounds lead by [person1],,,,,,,
person1-lead_investor_of-funding_round-funding_round_investment_partner-person2,list investment partners from (country_code) in the funding rounds lead by [person1],person2-country_code-country_code,,,,,,
person-funding_round_investor-funding_round-launched-org,[person] invested in which organizations,,,,,,,
person-funding_round_investor-funding_round-launched-org,[person] invested in what companies based in (country_code),org-country_code-country_code,,,,,,
person-funding_round_investor-funding_round-launched-org,[person] invested in which organizations,,,,,,,
person-funding_round_investor-funding_round-launched-org,[person] invested in what (category) companies,org-category-category,,,,,,
person-funding_round_investor-funding_round-type_of-investment_type,[person] invested in what types of funding rounds,,,,,,,
person-sponsor-event-country_code-country_code,[person] is the sponsor of events in which countries,,,,,,,
person-sponsor-event-city-city,[person] is the sponsor of events in which cities,,,,,,,
person-sponsor-event-type_of-event_role,[person] is the sponsor of what types of events,,,,,,,
person-speaker-event-country_code-country_code,[person] is the sspeaker of events in which countries,,,,,,,
person-speaker-event-city-city,[person] is the speaker of events in which cities,,,,,,,
person-speaker-event-type_of-event_role,[person] is the speaker of what types of events,,,,,,,
person-organizer-event-country_code-country_code,[person] is the organizer of events in which countries,,,,,,,
person-organizer-event-city-city,[person] is the organizer of events in which cities,,,,,,,
person-organizer-event-type_of-event_role,[person] is the organizer of what types of events,,,,,,,
person-exhibitor-event-country_code-country_code,[person] is the exhibitor of events in which countries,,,,,,,
person-exhibitor-event-city-city,[person] is the exhibitor of events in which cities,,,,,,,
person-exhibitor-event-type_of-event_role,[person] is the exhibitor of what types of events,,,,,,,
person-contestant-event-country_code-country_code,[person] is the contestant of events in which countries,,,,,,,
person-contestant-event-city-city,[person] is the contestant of events in which cities,,,,,,,
person-contestant-event-type_of-event_role,[person] is the contestant of what types of events,,,,,,,
org-launched-funding_round-type_of-investment_type,[org] launched what types of funding rounds,,,,,,,
org-launched-funding_round-country_code-country_code,[org] launched funding rounds in what countries,,,,,,,
org-launched-funding_round-city-city,[org] launched funding rounds in what cities,,,,,,,
org-launched-funding_round-lead_investor_of-person,list of people who were the lead investors of [org]'s funding rounds,,,,,,,
org1-launched-funding_round-lead_investor_of-org2,list of companies that were lead investors of [org1]'s funding rounds,,,,,,,
